data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazao
27/04/2002;5,078885738;;0;Sim;Sim
28/04/2002;4,95631462;;0;Sim;Sim
29/04/2002;4,911145839;;0,087627412;Sim;Sim
30/04/2002;4,734446355;;0;Sim;Sim
01/05/2002;4,734446355;;0;Sim;Sim
02/05/2002;4,571922828;;0;Sim;Sim
03/05/2002;4,691304757;;0;Sim;Sim
04/05/2002;4,734446355;;1,326356246;Sim;Sim
05/05/2002;8,453678178;;20,33836249;Sim;Sim
06/05/2002;7,500137386;;0,246266116;Sim;Sim
07/05/2002;5,52936362;;0;Sim;Sim
08/05/2002;4,97622388;;0;Sim;Sim
09/05/2002;4,898938826;;0;Sim;Sim
10/05/2002;5,990090798;;13,06023554;Sim;Sim
11/05/2002;5,818109234;;5,230174786;Sim;Sim
12/05/2002;5,29529851;;0,329110732;Sim;Sim
13/05/2002;5,973174395;;5,211619213;Sim;Sim
14/05/2002;4,923223061;;0,039913704;Sim;Sim
15/05/2002;6,2373495;;2,224029901;Sim;Sim
16/05/2002;5,166320774;;0,192744644;Sim;Sim
17/05/2002;4,845559158;;0;Sim;Sim
18/05/2002;4,683250517;;0,559481445;Sim;Sim
19/05/2002;4,60628117;;0;Sim;Sim
20/05/2002;4,60628117;;0;Sim;Sim
21/05/2002;4,529627529;;0;Sim;Sim
22/05/2002;5,447321746;;4,306569804;Sim;Sim
23/05/2002;7,904665334;;18,48301139;Sim;Sim
24/05/2002;5,254670516;;2,126316827;Sim;Sim
25/05/2002;4,845559158;;0,299433477;Sim;Sim
26/05/2002;4,648576468;;0,607386243;Sim;Sim
27/05/2002;4,60628117;;0,108656303;Sim;Sim
28/05/2002;4,691304757;;2,939817891;Sim;Sim
29/05/2002;4,529627529;;1,058188189;Sim;Sim
30/05/2002;4,529627529;;0;Sim;Sim
31/05/2002;4,402220497;;0;Sim;Sim
01/06/2002;4,351737742;;0;Sim;Sim
02/06/2002;4,351737742;;0,46011348;Sim;Sim
03/06/2002;4,428012534;;1,152714075;Sim;Sim
04/06/2002;4,428012534;;0,018545972;Sim;Sim
05/06/2002;4,453352738;;0;Sim;Sim
06/06/2002;4,351737742;;0;Sim;Sim
07/06/2002;4,351737742;;0;Sim;Sim
08/06/2002;4,351737742;;0;Sim;Sim
09/06/2002;4,301924154;;0;Sim;Sim
10/06/2002;4,176864108;;0,067234605;Sim;Sim
11/06/2002;4,176864108;;0;Sim;Sim
12/06/2002;4,101347013;;0;Sim;Sim
13/06/2002;4,101347013;;0;Sim;Sim
14/06/2002;4,052852078;;0;Sim;Sim
15/06/2002;3,977713831;;0;Sim;Sim
16/06/2002;4,026208766;;0;Sim;Sim
17/06/2002;4,026208766;;0,007493538;Sim;Sim
18/06/2002;4,026208766;;0;Sim;Sim
19/06/2002;3,977713831;;0;Sim;Sim
20/06/2002;3,902954432;;0;Sim;Sim
21/06/2002;3,855128664;;0;Sim;Sim
22/06/2002;3,929888063;;0,003746769;Sim;Sim
23/06/2002;3,929888063;;0;Sim;Sim
24/06/2002;3,977713831;;0,007493538;Sim;Sim
25/06/2002;3,929888063;;0;Sim;Sim
26/06/2002;3,929888063;;0,339395617;Sim;Sim
27/06/2002;3,929888063;;0,22905475;Sim;Sim
28/06/2002;4,156439348;;0,02578558;Sim;Sim
29/06/2002;4,301939699;;8,155123;Sim;Sim
30/06/2002;4,453352738;;0,102197023;Sim;Sim
01/07/2002;4,252760051;;0;Sim;Sim
02/07/2002;4,052852078;;0;Sim;Sim
03/07/2002;4,026208766;;1,857635973;Sim;Sim
04/07/2002;4,101347013;;0,834144221;Sim;Sim
05/07/2002;4,026208766;;2,211371507;Sim;Sim
06/07/2002;3,977713831;;0;Sim;Sim
07/07/2002;3,929888063;;0;Sim;Sim
08/07/2002;3,855128664;;0;Sim;Sim
09/07/2002;4,026208766;;3,789570367;Sim;Sim
10/07/2002;4,101347013;;0,022480614;Sim;Sim
11/07/2002;3,929888063;;0;Sim;Sim
12/07/2002;3,855128664;;0,00692477;Sim;Sim
13/07/2002;3,855128664;;0;Sim;Sim
14/07/2002;3,855128664;;2,313692202;Sim;Sim
15/07/2002;3,807991744;;0,250370628;Sim;Sim
16/07/2002;3,733611194;;0,01384954;Sim;Sim
17/07/2002;3,761523992;;0,454435312;Sim;Sim
18/07/2002;4,462480382;;10,35921422;Sim;Sim
19/07/2002;3,780748114;;0,213674323;Sim;Sim
20/07/2002;3,807991744;;0,002308257;Sim;Sim
21/07/2002;3,761523992;;0;Sim;Sim
22/07/2002;3,761523992;;0,043019816;Sim;Sim
23/07/2002;3,836283391;;0,175577669;Sim;Sim
24/07/2002;4,00502631;;0,857739577;Sim;Sim
25/07/2002;3,761523992;;0;Sim;Sim
26/07/2002;3,761523992;;0;Sim;Sim
27/07/2002;3,71576477;;0;Sim;Sim
28/07/2002;3,641384219;;0,044987862;Sim;Sim
29/07/2002;3,641384219;;0,052304728;Sim;Sim
30/07/2002;3,567445659;;0,086175688;Sim;Sim
31/07/2002;3,567445659;;0;Sim;Sim
01/08/2002;3,567445659;;0;Sim;Sim
02/08/2002;3,567445659;;0;Sim;Sim
03/08/2002;3,522375285;;0;Sim;Sim
04/08/2002;3,522375285;;0;Sim;Sim
05/08/2002;3,522375285;;0;Sim;Sim
06/08/2002;3,404370906;;0,214442141;Sim;Sim
07/08/2002;3,331253183;;0;Sim;Sim
08/08/2002;3,28761955;;0;Sim;Sim
09/08/2002;3,28761955;;0;Sim;Sim
10/08/2002;3,28761955;;0;Sim;Sim
11/08/2002;3,28761955;;0;Sim;Sim
12/08/2002;3,214817534;;0;Sim;Sim
13/08/2002;3,244674766;;0;Sim;Sim
14/08/2002;3,244674766;;0;Sim;Sim
15/08/2002;3,129675859;;0;Sim;Sim
16/08/2002;3,129675859;;0;Sim;Sim
17/08/2002;3,28761955;;0,389798547;Sim;Sim
18/08/2002;3,317792489;;0;Sim;Sim
19/08/2002;3,434360127;;0,475101669;Sim;Sim
20/08/2002;4,00502631;;2,613898417;Sim;Sim
21/08/2002;3,522375285;;0,009148809;Sim;Sim
22/08/2002;3,375634708;;0,011996407;Sim;Sim
23/08/2002;3,331253183;;0;Sim;Sim
24/08/2002;3,214817534;;0;Sim;Sim
25/08/2002;3,099575865;;0,752756018;Sim;Sim
26/08/2002;3,186154282;;0,109963746;Sim;Sim
27/08/2002;3,14252065;;0;Sim;Sim
28/08/2002;3,099575865;;0;Sim;Sim
29/08/2002;3,186154282;;0,242066932;Sim;Sim
30/08/2002;3,244674766;;2,141991741;Sim;Sim
31/08/2002;3,28761955;;0;Sim;Sim
01/09/2002;3,28761955;;0,308890813;Sim;Sim
02/09/2002;9,534737379;;25,50370224;Sim;Sim
03/09/2002;7,080577685;;0,125379521;Sim;Sim
04/09/2002;3,807991744;;0;Sim;Sim
05/09/2002;3,522375285;;0,00692477;Sim;Sim
06/09/2002;3,375634708;;0;Sim;Sim
07/09/2002;3,512932057;;0;Sim;Sim
08/09/2002;3,803130256;;17,57624147;Sim;Sim
09/09/2002;3,466464305;;0,836566845;Sim;Sim
10/09/2002;3,375634708;;0,1218552;Sim;Sim
11/09/2002;3,347903066;;0,635603074;Sim;Sim
12/09/2002;3,302832693;;0,191413118;Sim;Sim
13/09/2002;3,14252065;;0;Sim;Sim
14/09/2002;3,14252065;;0;Sim;Sim
15/09/2002;2,985460937;;0;Sim;Sim
16/09/2002;2,913984891;;0;Sim;Sim
17/09/2002;2,913984891;;0;Sim;Sim
18/09/2002;2,913984891;;0;Sim;Sim
19/09/2002;2,913984891;;0;Sim;Sim
20/09/2002;2,913984891;;0;Sim;Sim
21/09/2002;3,057378974;;0;Sim;Sim
22/09/2002;3,745453794;;7,726678754;Sim;Sim
23/09/2002;8,454723625;;18,32586119;Sim;Sim
24/09/2002;15,25353034;;34,98842172;Sim;Sim
25/09/2002;9,136047322;;16,19421545;Sim;Sim
26/09/2002;7,263838514;;6,284396077;Sim;Sim
27/09/2002;4,691304757;;0;Sim;Sim
28/09/2002;4,052852078;;0;Sim;Sim
29/09/2002;3,613204881;;0;Sim;Sim
30/09/2002;3,539582027;;0;Sim;Sim
01/10/2002;3,375634708;;0;Sim;Sim
02/10/2002;8,876838495;;19,88218919;Sim;Sim
03/10/2002;5,547899938;;0,132463647;Sim;Sim
04/10/2002;3,855128664;;0;Sim;Sim
05/10/2002;3,466464305;;0;Sim;Sim
06/10/2002;3,375634708;;0;Sim;Sim
