data,cota,vazoes,maxima,minima,media,Interpolado chuva
1990-01-01,1.1,9.1822,9.8384,4.498,6.3045,Não
1990-01-02,1.13,9.8384,9.8384,4.498,6.3045,Não
1990-01-03,1.1266666666666667,9.8384,9.8384,4.498,6.3045,Não
1990-01-04,1.086666666666667,8.9689,9.8384,4.498,6.3045,Não
1990-01-05,1.02,7.5503,9.8384,4.498,6.3045,Não
1990-01-06,1.0,7.1689,9.8384,4.498,6.3045,Não
1990-01-07,0.97,6.6166,9.8384,4.498,6.3045,Não
1990-01-08,0.96,6.4378,9.8384,4.498,6.3045,Não
1990-01-09,0.9499999999999998,6.2615,9.8384,4.498,6.3045,Não
1990-01-10,0.9366666666666666,6.0879,9.8384,4.498,6.3045,Não
1990-01-11,0.9266666666666667,5.9169,9.8384,4.498,6.3045,Não
1990-01-12,0.92,5.7485,9.8384,4.498,6.3045,Não
1990-01-13,0.9066666666666668,5.5827,9.8384,4.498,6.3045,Não
1990-01-14,0.8966666666666666,5.4351,9.8384,4.498,6.3045,Não
1990-01-15,0.88,5.1559,9.8384,4.498,6.3045,Não
1990-01-16,0.88,5.1559,9.8384,4.498,6.3045,Não
1990-01-17,0.8733333333333334,5.0197,9.8384,4.498,6.3045,Não
1990-01-18,0.8666666666666667,4.8859,9.8384,4.498,6.3045,Não
1990-01-19,0.86,4.8859,9.8384,4.498,6.3045,Não
1990-01-20,0.85,4.7543,9.8384,4.498,6.3045,Não
1990-01-21,0.84,4.625,9.8384,4.498,6.3045,Não
1990-01-22,0.83,4.498,9.8384,4.498,6.3045,Não
1990-01-23,0.8766666666666666,5.1559,9.8384,4.498,6.3045,Não
1990-01-24,0.88,5.1559,9.8384,4.498,6.3045,Não
1990-01-25,1.13,9.8384,9.8384,4.498,6.3045,Não
1990-01-26,1.0599999999999998,8.3449,9.8384,4.498,6.3045,Não
1990-01-27,1.0066666666666666,7.3583,9.8384,4.498,6.3045,Não
1990-01-28,0.89,5.2943,9.8384,4.498,6.3045,Não
1990-01-29,0.8866666666666667,5.2943,9.8384,4.498,6.3045,Não
1990-01-30,0.8566666666666666,4.8859,9.8384,4.498,6.3045,Não
1990-01-31,0.83,4.498,9.8384,4.498,6.3045,Não
1990-02-01,0.82,4.3731,23.1387,4.2505,7.3245,Não
1990-02-02,0.82,4.3731,23.1387,4.2505,7.3245,Não
1990-02-03,0.8266666666666667,4.7543,23.1387,4.2505,7.3245,Não
1990-02-04,0.88,5.1559,23.1387,4.2505,7.3245,Não
1990-02-05,0.84,4.625,23.1387,4.2505,7.3245,Não
1990-02-06,0.82,4.3731,23.1387,4.2505,7.3245,Não
1990-02-07,0.8166666666666668,4.3731,23.1387,4.2505,7.3245,Não
1990-02-08,0.82,4.3731,23.1387,4.2505,7.3245,Não
1990-02-09,0.81,4.2505,23.1387,4.2505,7.3245,Não
1990-02-10,0.81,4.2505,23.1387,4.2505,7.3245,Não
1990-02-11,0.9,5.4351,23.1387,4.2505,7.3245,Não
1990-02-12,0.9166666666666666,5.7485,23.1387,4.2505,7.3245,Não
1990-02-13,1.0066666666666666,7.3583,23.1387,4.2505,7.3245,Não
1990-02-14,1.356666666666667,15.684,23.1387,4.2505,7.3245,Não
1990-02-15,1.586666666666667,23.1387,23.1387,4.2505,7.3245,Não
1990-02-16,1.53,21.0107,23.1387,4.2505,7.3245,Não
1990-02-17,1.06,8.3449,23.1387,4.2505,7.3245,Não
1990-02-18,1.08,8.7582,23.1387,4.2505,7.3245,Não
1990-02-19,1.096666666666667,9.1822,23.1387,4.2505,7.3245,Não
1990-02-20,1.08,8.7582,23.1387,4.2505,7.3245,Não
1990-02-21,1.02,7.5503,23.1387,4.2505,7.3245,Não
1990-02-22,0.9166666666666666,5.7485,23.1387,4.2505,7.3245,Não
1990-02-23,0.8933333333333334,5.9169,23.1387,4.2505,7.3245,Não
1990-02-24,0.9266666666666667,5.9169,23.1387,4.2505,7.3245,Não
1990-02-25,0.9166666666666666,5.7485,23.1387,4.2505,7.3245,Não
1990-02-26,0.8966666666666666,5.4351,23.1387,4.2505,7.3245,Não
1990-02-27,0.88,5.1559,23.1387,4.2505,7.3245,Não
1990-02-28,0.89,5.2943,23.1387,4.2505,7.3245,Não
1990-03-01,0.9666666666666668,6.6166,11.2237,5.0197,7.4327,Não
1990-03-02,0.92,5.7485,11.2237,5.0197,7.4327,Não
1990-03-03,0.9666666666666668,6.6166,11.2237,5.0197,7.4327,Não
