data,cota,vazoes,maxima,minima,media,Interpolado chuva
1990-01-01,1.18,14.9807,15.9345,6.9305,10.1243,Não
1990-01-02,1.2,15.6148,15.9345,6.9305,10.1243,Não
1990-01-03,1.21,15.9345,15.9345,6.9305,10.1243,Não
1990-01-04,1.2,15.6148,15.9345,6.9305,10.1243,Não
1990-01-05,1.18,14.9807,15.9345,6.9305,10.1243,Não
1990-01-06,1.13,13.427,15.9345,6.9305,10.1243,Não
1990-01-07,1.1,12.5171,15.9345,6.9305,10.1243,Não
1990-01-08,1.08,11.9202,15.9345,6.9305,10.1243,Não
1990-01-09,1.06,11.3312,15.9345,6.9305,10.1243,Não
1990-01-10,1.02,10.1778,15.9345,6.9305,10.1243,Não
1990-01-11,0.99,9.3351,15.9345,6.9305,10.1243,Não
1990-01-12,0.98,9.0586,15.9345,6.9305,10.1243,Não
1990-01-13,0.98,9.0586,15.9345,6.9305,10.1243,Não
1990-01-14,0.97,8.7844,15.9345,6.9305,10.1243,Não
1990-01-15,0.96,8.5124,15.9345,6.9305,10.1243,Não
1990-01-16,0.9499999999999998,8.2427,15.9345,6.9305,10.1243,Não
1990-01-17,0.94,7.9754,15.9345,6.9305,10.1243,Não
1990-01-18,0.93,7.7105,15.9345,6.9305,10.1243,Não
1990-01-19,0.92,7.4481,15.9345,6.9305,10.1243,Não
1990-01-20,0.91,7.188,15.9345,6.9305,10.1243,Não
1990-01-21,0.9,6.9305,15.9345,6.9305,10.1243,Não
1990-01-22,0.9,6.9305,15.9345,6.9305,10.1243,Não
1990-01-23,0.9,6.9305,15.9345,6.9305,10.1243,Não
1990-01-24,0.94,7.9754,15.9345,6.9305,10.1243,Não
1990-01-25,0.98,9.0586,15.9345,6.9305,10.1243,Não
1990-01-26,1.15,14.043,15.9345,6.9305,10.1243,Não
1990-01-27,1.05,11.0398,15.9345,6.9305,10.1243,Não
1990-01-28,0.97,8.7844,15.9345,6.9305,10.1243,Não
1990-01-29,0.93,7.7105,15.9345,6.9305,10.1243,Não
1990-01-30,0.92,7.4481,15.9345,6.9305,10.1243,Não
1990-01-31,0.91,7.188,15.9345,6.9305,10.1243,Não
1990-02-01,0.9,6.9305,42.7927,6.4232,11.828,Não
1990-02-02,0.88,6.4232,42.7927,6.4232,11.828,Não
1990-02-03,0.9,6.9305,42.7927,6.4232,11.828,Não
1990-02-04,0.9,6.9305,42.7927,6.4232,11.828,Não
1990-02-05,1.11,12.8185,42.7927,6.4232,11.828,Não
1990-02-06,0.98,9.0586,42.7927,6.4232,11.828,Não
1990-02-07,0.98,9.0586,42.7927,6.4232,11.828,Não
1990-02-08,0.93,7.7105,42.7927,6.4232,11.828,Não
1990-02-09,0.91,7.188,42.7927,6.4232,11.828,Não
1990-02-10,0.9,6.9305,42.7927,6.4232,11.828,Não
1990-02-11,0.9,6.9305,42.7927,6.4232,11.828,Não
1990-02-12,1.05,11.0398,42.7927,6.4232,11.828,Não
1990-02-13,1.0,9.6138,42.7927,6.4232,11.828,Não
1990-02-14,1.19,15.2969,42.7927,6.4232,11.828,Não
1990-02-15,1.21,15.9345,42.7927,6.4232,11.828,Não
1990-02-16,1.93,42.7927,42.7927,6.4232,11.828,Não
1990-02-17,1.54,27.3765,42.7927,6.4232,11.828,Não
1990-02-18,1.25,17.2305,42.7927,6.4232,11.828,Não
1990-02-19,1.15,14.043,42.7927,6.4232,11.828,Não
1990-02-20,1.13,13.427,42.7927,6.4232,11.828,Não
1990-02-21,1.04,10.7504,42.7927,6.4232,11.828,Não
1990-02-22,0.98,9.0586,42.7927,6.4232,11.828,Não
1990-02-23,0.97,8.7844,42.7927,6.4232,11.828,Não
1990-02-24,1.0,9.6138,42.7927,6.4232,11.828,Não
1990-02-25,1.0,9.6138,42.7927,6.4232,11.828,Não
1990-02-26,1.04,10.7504,42.7927,6.4232,11.828,Não
1990-02-27,1.0,9.6138,42.7927,6.4232,11.828,Não
1990-02-28,0.99,9.3351,42.7927,6.4232,11.828,Não
1990-03-01,0.98,9.0586,18.888,7.9754,11.9909,Não
1990-03-02,0.96,8.5124,18.888,7.9754,11.9909,Não
1990-03-03,1.25,17.2305,18.888,7.9754,11.9909,Não
1990-03-04,1.25,17.2305,18.888,7.9754,11.9909,Não
1990-03-05,1.1,12.5171,18.888,7.9754,11.9909,Não
1990-03-06,1.0,9.6138,18.888,7.9754,11.9909,Não
1990-03-07,1.0,9.6138,18.888,7.9754,11.9909,Não
1990-03-08,1.05,11.0398,18.888,7.9754,11.9909,Não
1990-03-09,1.01,9.8947,18.888,7.9754,11.9909,Não
1990-03-10,1.0,9.6138,18.888,7.9754,11.9909,Não
1990-03-11,1.05,11.0398,18.888,7.9754,11.9909,Não
1990-03-12,0.99,9.3351,18.888,7.9754,11.9909,Não
1990-03-13,0.98,9.0586,18.888,7.9754,11.9909,Não
1990-03-14,0.96,8.5124,18.888,7.9754,11.9909,Não
1990-03-15,0.94,7.9754,18.888,7.9754,11.9909,Não
1990-03-16,1.0,9.6138,18.888,7.9754,11.9909,Não
1990-03-17,1.0,9.6138,18.888,7.9754,11.9909,Não
1990-03-18,1.13,13.427,18.888,7.9754,11.9909,Não
1990-03-19,1.0,9.6138,18.888,7.9754,11.9909,Não
1990-03-20,0.98,9.0586,18.888,7.9754,11.9909,Não
1990-03-21,1.23,16.5791,18.888,7.9754,11.9909,Não
1990-03-22,1.12,13.1218,18.888,7.9754,11.9909,Não
1990-03-23,1.3,18.888,18.888,7.9754,11.9909,Não
1990-03-24,1.08,11.9202,18.888,7.9754,11.9909,Não
1990-03-25,0.98,9.0586,18.888,7.9754,11.9909,Não
1990-03-26,1.15,14.043,18.888,7.9754,11.9909,Não
1990-03-27,1.2,15.6148,18.888,7.9754,11.9909,Não
1990-03-28,1.22,16.2559,18.888,7.9754,11.9909,Não
1990-03-29,1.18,14.9807,18.888,7.9754,11.9909,Não
1990-03-30,1.22,16.2559,18.888,7.9754,11.9909,Não
1990-03-31,1.13,13.427,18.888,7.9754,11.9909,Não
1990-04-01,1.05,11.0398,25.9042,8.5124,13.0841,Não
1990-04-02,1.01,9.8947,25.9042,8.5124,13.0841,Não
1990-04-03,0.98,9.0586,25.9042,8.5124,13.0841,Não
1990-04-04,0.96,8.5124,25.9042,8.5124,13.0841,Não
1990-04-05,1.4799999999999998,25.1763,25.9042,8.5124,13.0841,Não
1990-04-06,1.25,17.2305,25.9042,8.5124,13.0841,Não
1990-04-07,1.17,14.6663,25.9042,8.5124,13.0841,Não
1990-04-08,1.12,13.1218,25.9042,8.5124,13.0841,Não
1990-04-09,1.05,11.0398,25.9042,8.5124,13.0841,Não
1990-04-10,1.08,11.3312,25.9042,8.5124,13.0841,Não
1990-04-11,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-12,1.38,21.6228,25.9042,8.5124,13.0841,Não
1990-04-13,1.46,24.4541,25.9042,8.5124,13.0841,Não
1990-04-14,1.25,17.2305,25.9042,8.5124,13.0841,Não
1990-04-15,1.05,11.0398,25.9042,8.5124,13.0841,Não
1990-04-16,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-17,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-18,0.98,9.0586,25.9042,8.5124,13.0841,Não
1990-04-19,0.96,8.5124,25.9042,8.5124,13.0841,Não
1990-04-20,1.5,25.9042,25.9042,8.5124,13.0841,Não
1990-04-21,1.29,18.5532,25.9042,8.5124,13.0841,Não
1990-04-22,1.18,14.9807,25.9042,8.5124,13.0841,Não
1990-04-23,1.1,12.5171,25.9042,8.5124,13.0841,Não
1990-04-24,1.06,11.3312,25.9042,8.5124,13.0841,Não
1990-04-25,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-26,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-27,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-28,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-29,1.0,9.6138,25.9042,8.5124,13.0841,Não
1990-04-30,0.99,9.3351,25.9042,8.5124,13.0841,Não
1990-05-01,3.96,8.5124,20.9298,5.9264,8.637,Não
1990-05-02,0.98,9.0586,20.9298,5.9264,8.637,Não
1990-05-03,1.36,20.9298,20.9298,5.9264,8.637,Não
1990-05-04,1.2,15.6148,20.9298,5.9264,8.637,Não
1990-05-05,1.05,11.0398,20.9298,5.9264,8.637,Não
1990-05-06,1.0,9.6138,20.9298,5.9264,8.637,Não
1990-05-07,0.98,9.0586,20.9298,5.9264,8.637,Não
1990-05-08,0.97,8.7844,20.9298,5.9264,8.637,Não
1990-05-09,0.96,8.5124,20.9298,5.9264,8.637,Não
1990-05-10,0.96,8.5124,20.9298,5.9264,8.637,Não
1990-05-11,0.94,7.9754,20.9298,5.9264,8.637,Não
1990-05-12,1.03,10.463,20.9298,5.9264,8.637,Não
1990-05-13,1.11,12.8185,20.9298,5.9264,8.637,Não
1990-05-14,1.0,9.6138,20.9298,5.9264,8.637,Não
1990-05-15,0.97,8.7844,20.9298,5.9264,8.637,Não
1990-05-16,0.9499999999999998,8.2427,20.9298,5.9264,8.637,Não
1990-05-17,0.94,7.9754,20.9298,5.9264,8.637,Não
1990-05-18,0.92,7.4481,20.9298,5.9264,8.637,Não
1990-05-19,0.9,6.9305,20.9298,5.9264,8.637,Não
1990-05-20,0.9,6.9305,20.9298,5.9264,8.637,Não
1990-05-21,0.89,6.6756,20.9298,5.9264,8.637,Não
1990-05-22,0.88,6.4232,20.9298,5.9264,8.637,Não
1990-05-23,0.88,6.4232,20.9298,5.9264,8.637,Não
1990-05-24,0.88,6.4232,20.9298,5.9264,8.637,Não
1990-05-25,0.88,6.4232,20.9298,5.9264,8.637,Não
1990-05-26,0.88,6.4232,20.9298,5.9264,8.637,Não
1990-05-27,0.9,6.9305,20.9298,5.9264,8.637,Não
1990-05-28,0.9,6.9305,20.9298,5.9264,8.637,Não
1990-05-29,0.88,6.4232,20.9298,5.9264,8.637,Não
1990-05-30,0.86,5.9264,20.9298,5.9264,8.637,Não
1990-05-31,0.86,5.9264,20.9298,5.9264,8.637,Não
1990-06-01,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-02,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-03,0.88,6.4232,6.6756,5.4406,6.0847,Não
1990-06-04,0.88,6.4232,6.6756,5.4406,6.0847,Não
1990-06-05,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-06,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-07,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-08,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-09,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-10,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-11,0.8833333333333333,6.6756,6.6756,5.4406,6.0847,Não
1990-06-12,0.87,6.1735,6.6756,5.4406,6.0847,Não
1990-06-13,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-14,0.85,5.6821,6.6756,5.4406,6.0847,Não
1990-06-15,0.84,5.4406,6.6756,5.4406,6.0847,Não
1990-06-16,0.84,5.4406,6.6756,5.4406,6.0847,Não
1990-06-17,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-18,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-19,0.8633333333333333,6.1735,6.6756,5.4406,6.0847,Não
1990-06-20,0.8633333333333333,6.1735,6.6756,5.4406,6.0847,Não
1990-06-21,0.87,6.1735,6.6756,5.4406,6.0847,Não
1990-06-22,0.89,6.6756,6.6756,5.4406,6.0847,Não
1990-06-23,0.88,6.4232,6.6756,5.4406,6.0847,Não
1990-06-24,0.88,6.4232,6.6756,5.4406,6.0847,Não
1990-06-25,0.88,6.4232,6.6756,5.4406,6.0847,Não
1990-06-26,0.88,6.4232,6.6756,5.4406,6.0847,Não
1990-06-27,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-28,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-29,0.86,5.9264,6.6756,5.4406,6.0847,Não
1990-06-30,0.88,6.4232,6.6756,5.4406,6.0847,Não
1990-07-01,1.0,9.6138,14.043,4.9662,7.62,Não
1990-07-02,1.0,9.6138,14.043,4.9662,7.62,Não
1990-07-03,1.1,12.5171,14.043,4.9662,7.62,Não
1990-07-04,0.98,9.0586,14.043,4.9662,7.62,Não
1990-07-05,0.96,8.5124,14.043,4.9662,7.62,Não
1990-07-06,0.94,7.9754,14.043,4.9662,7.62,Não
1990-07-07,1.15,14.043,14.043,4.9662,7.62,Não
1990-07-08,1.05,11.0398,14.043,4.9662,7.62,Não
1990-07-09,0.99,9.3351,14.043,4.9662,7.62,Não
1990-07-10,0.96,8.5124,14.043,4.9662,7.62,Não
1990-07-11,0.94,7.9754,14.043,4.9662,7.62,Não
1990-07-12,0.97,8.7844,14.043,4.9662,7.62,Não
1990-07-13,1.0,9.6138,14.043,4.9662,7.62,Não
1990-07-14,1.0,9.6138,14.043,4.9662,7.62,Não
1990-07-15,1.0,9.6138,14.043,4.9662,7.62,Não
1990-07-16,0.93,7.7105,14.043,4.9662,7.62,Não
1990-07-17,0.9,6.9305,14.043,4.9662,7.62,Não
1990-07-18,0.88,6.4232,14.043,4.9662,7.62,Não
1990-07-19,0.87,6.1735,14.043,4.9662,7.62,Não
1990-07-20,0.83,5.202,14.043,4.9662,7.62,Não
1990-07-21,0.82,4.9662,14.043,4.9662,7.62,Não
1990-07-22,0.82,4.9662,14.043,4.9662,7.62,Não
1990-07-23,0.82,4.9662,14.043,4.9662,7.62,Não
1990-07-24,0.84,5.4406,14.043,4.9662,7.62,Não
1990-07-25,0.84,5.4406,14.043,4.9662,7.62,Não
1990-07-26,0.84,5.4406,14.043,4.9662,7.62,Não
1990-07-27,0.83,5.202,14.043,4.9662,7.62,Não
1990-07-28,0.82,4.9662,14.043,4.9662,7.62,Não
1990-07-29,0.83,5.202,14.043,4.9662,7.62,Não
1990-07-30,0.84,5.4406,14.043,4.9662,7.62,Não
1990-07-31,0.86,5.9264,14.043,4.9662,7.62,Não
1990-08-01,0.83,5.202,15.9345,4.9662,7.5528,Não
1990-08-02,0.82,4.9662,15.9345,4.9662,7.5528,Não
1990-08-03,0.82,4.9662,15.9345,4.9662,7.5528,Não
1990-08-04,0.83,5.202,15.9345,4.9662,7.5528,Não
1990-08-05,0.87,6.1735,15.9345,4.9662,7.5528,Não
1990-08-06,0.99,9.3351,15.9345,4.9662,7.5528,Não
1990-08-07,0.97,8.7844,15.9345,4.9662,7.5528,Não
1990-08-08,0.96,8.5124,15.9345,4.9662,7.5528,Não
1990-08-09,0.94,7.9754,15.9345,4.9662,7.5528,Não
1990-08-10,0.9499999999999998,8.2427,15.9345,4.9662,7.5528,Não
1990-08-11,0.94,7.9754,15.9345,4.9662,7.5528,Não
1990-08-12,0.93,7.7105,15.9345,4.9662,7.5528,Não
1990-08-13,0.91,7.188,15.9345,4.9662,7.5528,Não
1990-08-14,0.9166666666666666,7.7105,15.9345,4.9662,7.5528,Não
1990-08-15,0.9499999999999998,8.2427,15.9345,4.9662,7.5528,Não
1990-08-16,0.92,7.4481,15.9345,4.9662,7.5528,Não
1990-08-17,0.9,6.9305,15.9345,4.9662,7.5528,Não
1990-08-18,0.9,6.9305,15.9345,4.9662,7.5528,Não
1990-08-19,0.94,7.9754,15.9345,4.9662,7.5528,Não
1990-08-20,0.92,7.4481,15.9345,4.9662,7.5528,Não
1990-08-21,0.9,6.9305,15.9345,4.9662,7.5528,Não
1990-08-22,0.93,7.7105,15.9345,4.9662,7.5528,Não
1990-08-23,0.88,6.4232,15.9345,4.9662,7.5528,Não
1990-08-24,0.87,6.1735,15.9345,4.9662,7.5528,Não
1990-08-25,0.88,6.4232,15.9345,4.9662,7.5528,Não
1990-08-26,0.89,6.6756,15.9345,4.9662,7.5528,Não
1990-08-27,0.87,6.1735,15.9345,4.9662,7.5528,Não
1990-08-28,0.85,5.6821,15.9345,4.9662,7.5528,Não
1990-08-29,0.88,6.4232,15.9345,4.9662,7.5528,Não
1990-08-30,1.17,14.6663,15.9345,4.9662,7.5528,Não
1990-08-31,1.21,15.9345,15.9345,4.9662,7.5528,Não
1990-09-01,1.09,12.2177,19.5623,5.202,8.4415,Não
1990-09-02,1.0,9.6138,19.5623,5.202,8.4415,Não
1990-09-03,1.19,15.2969,19.5623,5.202,8.4415,Não
1990-09-04,1.1,12.5171,19.5623,5.202,8.4415,Não
1990-09-05,1.06,11.3312,19.5623,5.202,8.4415,Não
1990-09-06,0.97,8.7844,19.5623,5.202,8.4415,Não
