data,vazao,nivel,chuva,Interpolado chuva
2015-12-20,2.4833333333333334,424.2916666666667,1.4,Não
2015-12-21,3.170833333333333,438.8333333333333,12.6,Não
2015-12-22,2.441666666666667,423.0833333333333,0.0,Não
2015-12-23,2.182608695652174,416.8695652173913,0.0,Não
2015-12-24,2.0541666666666667,413.3333333333333,0.0,Não
2015-12-25,1.9791666666666667,411.2916666666667,0.0,Não
2015-12-26,1.9125,409.4583333333333,0.0,Não
2015-12-27,1.875,409.125,0.2,Não
2015-12-28,1.7833333333333332,406.5416666666667,0.0,Não
2015-12-29,1.7333333333333334,405.0,0.0,Não
2015-12-30,1.6791666666666665,403.4583333333333,0.0,Não
2015-12-31,1.6291666666666669,402.125,0.0,Não
2016-01-01,1.6000000000000003,401.1666666666667,0.0,Não
2016-01-02,1.6125,401.1666666666667,0.0,Não
2016-01-03,2.216666666666667,416.125,19.8,Não
2016-01-04,4.804166666666666,468.4166666666667,56.4,Não
2016-01-05,3.0,435.4583333333333,1.2,Não
2016-01-06,2.341666666666667,420.875,0.6000000000000001,Não
2016-01-07,2.066666666666667,413.75,0.0,Não
2016-01-08,1.975,410.6666666666667,0.0,Não
2016-01-09,1.8416666666666668,408.2083333333333,0.0,Não
2016-01-10,1.7875,406.6666666666667,0.0,Não
2016-01-11,1.7708333333333333,405.7083333333333,0.0,Não
2016-01-12,1.7,405.0,0.0,Não
2016-01-13,1.7291666666666667,405.2916666666667,1.8,Não
2016-01-14,1.7125,405.125,0.2,Não
2016-01-15,3.6916666666666655,445.2916666666667,14.2,Não
2016-01-16,9.0625,509.6470588235294,6.2,Não
2016-01-17,14.533333333333331,509.3333333333333,52.2,Não
2016-01-18,16.712500000000002,,67.4,Não
2016-01-19,13.354166666666666,547.0,10.4,Não
2016-01-20,11.416666666666666,540.1538461538462,22.8,Não
2016-01-21,10.154166666666669,536.2631578947369,7.4,Não
2016-01-22,8.604166666666666,516.952380952381,3.4000000000000004,Não
2016-01-23,12.654545454545454,546.0,18.4,Não
2016-01-24,9.68421052631579,535.5263157894736,0.0,Não
2016-01-25,8.233333333333333,518.25,9.8,Não
2016-01-26,9.191666666666666,524.0869565217391,11.2,Não
2016-01-27,9.3375,531.4166666666666,7.6,Não
2016-01-28,8.9,525.875,0.6000000000000001,Não
2016-01-29,7.1000000000000005,503.5,0.0,Não
2016-01-30,5.816666666666666,485.25,0.0,Não
2016-01-31,5.083333333333333,474.125,0.0,Não
2016-02-01,4.5875,465.5416666666667,0.0,Não
2016-02-02,4.220833333333333,459.0833333333333,0.0,Não
2016-02-03,3.9166666666666665,453.9166666666667,0.0,Não
2016-02-04,3.7083333333333335,450.0833333333333,0.0,Não
2016-02-05,4.0875,457.0416666666667,0.0,Não
2016-02-06,3.695833333333333,449.7916666666667,0.0,Não
2016-02-07,3.375,443.9583333333333,0.0,Não
