data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazao
22/09/2015;;160,6428571;0,000766907;Sim;Sim
23/09/2015;;160,2083333;0;Sim;Sim
24/09/2015;;159,75;0;Sim;Sim
25/09/2015;;162,0416667;0;Sim;Sim
26/09/2015;;160;0;Sim;Sim
27/09/2015;;158,7391304;0;Sim;Sim
28/09/2015;;151,9565217;0,000224349;Sim;Sim
29/09/2015;;160;0,021351851;Sim;Sim
30/09/2015;;152,5652174;0,126537134;Sim;Sim
01/10/2015;;156,375;6,07E-05;Sim;Sim
02/10/2015;;154,375;0,013039989;Sim;Sim
03/10/2015;5,067059615;155,2173913;0;Sim;Sim
04/10/2015;4,9848125;156,2916667;0,031987096;Sim;Sim
05/10/2015;5,5139875;157,0869565;9,294423562;Sim;Sim
06/10/2015;6,3237125;167,7916667;0,422212417;Sim;Sim
07/10/2015;6,0118;166,3333333;0,024062461;Sim;Sim
08/10/2015;5,642525;160,8333333;0;Sim;Sim
09/10/2015;5,350175;156,1666667;0;Sim;Sim
10/10/2015;5,183625;157,8333333;0,00355727;Sim;Sim
11/10/2015;5,0413625;153,4347826;0,003628858;Sim;Sim
12/10/2015;4,9502625;151,4166667;0;Sim;Sim
13/10/2015;4,8213625;157,7826087;0;Sim;Sim
14/10/2015;4,808;152,5652174;0;Sim;Sim
15/10/2015;4,808;164,9130435;0;Sim;Sim
16/10/2015;4,808;138,5;0;Sim;Sim
17/10/2015;4,808;139,5;0,000519529;Sim;Sim
18/10/2015;4,808;149,5217391;0,013907492;Sim;Sim
19/10/2015;4,808;151,4166667;0,209407513;Sim;Sim
20/10/2015;4,894375;152,3181818;0,063981873;Sim;Sim
21/10/2015;5,010725;153,0454545;7,33E-05;Sim;Sim
22/10/2015;4,94945;155,5652174;0,25809164;Sim;Sim
23/10/2015;8,6533125;248,3636364;7,055173306;Sim;Sim
24/10/2015;11,4515125;185,9;3,287653151;Sim;Sim
25/10/2015;6,3820375;173,4761905;0,065321031;Sim;Sim
26/10/2015;5,5898875;157,8571429;0,018252799;Sim;Sim
27/10/2015;5,284175;161,625;0,040690143;Sim;Sim
28/10/2015;5,1953625;158,5909091;1,0336301;Sim;Sim
29/10/2015;5,441125;159,8695652;7,835545677;Sim;Sim
30/10/2015;6,0752125;167,2727273;5,148959032;Sim;Sim
31/10/2015;6,2891625;173,173913;0,669308944;Sim;Sim
01/11/2015;6,1397375;172,173913;0,033781602;Sim;Sim
02/11/2015;6,104525;167;0,002534248;Sim;Sim
03/11/2015;5,7344375;159,4583333;0;Sim;Sim
04/11/2015;5,4217125;159,1666667;0;Sim;Sim
05/11/2015;5,1702625;154,173913;0;Sim;Sim
06/11/2015;4,9722625;155,5833333;0,266927501;Sim;Sim
07/11/2015;4,834725;151,25;0,000491747;Sim;Sim
08/11/2015;4,808;152,4347826;0,124812696;Sim;Sim
09/11/2015;4,808;151,75;0,109417603;Sim;Sim
10/11/2015;4,808;152,047619;3,953812031;Sim;Sim
11/11/2015;4,808;148,75;0,005205629;Sim;Sim
12/11/2015;4,78096087;157,6956522;0;Sim;Sim
13/11/2015;5,258507065;151,2857143;2,091889556;Sim;Sim
14/11/2015;5,768325;147,0454545;0,037220962;Sim;Sim
15/11/2015;5,1326125;151,8181818;0,15874908;Sim;Sim
16/11/2015;4,9470125;153,047619;3,175644933;Sim;Sim
17/11/2015;5,007625;156,7826087;0,826176797;Sim;Sim
18/11/2015;5,167675;156;7,791449444;Sim;Sim
19/11/2015;8,159547283;167,3333333;3,22204655;Sim;Sim
20/11/2015;14,27238261;171;16,72862109;Sim;Sim
21/11/2015;16,0235125;172;3,816245543;Sim;Sim
22/11/2015;11,5372875;184,6363636;10,2326846;Sim;Sim
23/11/2015;8,0203;178,0909091;0,012457256;Sim;Sim
24/11/2015;7,1078875;170,9545455;0,498258763;Sim;Sim
25/11/2015;6,591495109;161,5714286;0,003120173;Sim;Sim
26/11/2015;6,059208696;161,4782609;0,106039978;Sim;Sim
27/11/2015;5,9331;161,4166667;0,179513;Sim;Sim
28/11/2015;5,9709;160,375;0,001519234;Sim;Sim
29/11/2015;5,812175;157,3043478;0,015045425;Sim;Sim
30/11/2015;5,585538043;156,6086957;0,25871142;Sim;Sim
01/12/2015;5,436318478;157,875;10,70797102;Sim;Sim
02/12/2015;8,1127;174,3333333;0,237703522;Sim;Sim
