data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazao
31/12/2001;7,260141176;28,36363636;5,56487939;Sim;Sim
01/01/2002;8,85597971;30,81642512;0,4;Não;Sim
02/01/2002;7,791269672;31,71428571;3,2;Não;Sim
03/01/2002;9,144738394;;1,4;Não;Sim
04/01/2002;6,303036676;;2,431966835;Sim;Sim
05/01/2002;5,817136236;;6,792385485;Sim;Sim
06/01/2002;5,541409365;;0,632215815;Sim;Sim
07/01/2002;5,390787894;;0,028699385;Sim;Sim
08/01/2002;5,227528851;;0,721210401;Sim;Sim
09/01/2002;5,211463583;;0,009457717;Sim;Sim
10/01/2002;5,11959478;;0,03310201;Sim;Sim
11/01/2002;5,089939193;;1,352418749;Sim;Sim
12/01/2002;5,259823654;;1,991964107;Sim;Sim
13/01/2002;5,994226523;;5,349246594;Sim;Sim
14/01/2002;5,747290101;;2,68986893;Sim;Sim
15/01/2002;5,834679903;;0,922421735;Sim;Sim
16/01/2002;6,760135716;;9,030971909;Sim;Sim
17/01/2002;5,887551829;;13,78392942;Sim;Sim
18/01/2002;8,85597971;;12,33464843;Sim;Sim
19/01/2002;6,432851051;;21,56589703;Sim;Sim
20/01/2002;5,782136511;;2,43473599;Sim;Sim
21/01/2002;5,37426268;;0,096503783;Sim;Sim
22/01/2002;5,243659826;;0,096503783;Sim;Sim
23/01/2002;5,149436535;;0;Sim;Sim
24/01/2002;5,075177106;;0,562041869;Sim;Sim
25/01/2002;6,488942601;;22,25331899;Sim;Sim
26/01/2002;5,341343664;;7,105792123;Sim;Sim
27/01/2002;5,994226523;;14,74694658;Sim;Sim
28/01/2002;5,407356913;;0,518195736;Sim;Sim
29/01/2002;5,276031286;;0,06334287;Sim;Sim
30/01/2002;5,227528851;;20,15810871;Sim;Sim
31/01/2002;5,149436535;;4,495064014;Sim;Sim
01/02/2002;5,11959478;;0,003046075;Sim;Sim
02/02/2002;5,104745084;;29,25236297;Sim;Sim
03/02/2002;6,623192173;;57,81662761;Sim;Sim
04/02/2002;5,259823654;;5,307728598;Sim;Sim
05/02/2002;5,11959478;;0;Sim;Sim
06/02/2002;5,440615413;;2,107356646;Sim;Sim
07/02/2002;5,149436535;;0,483590436;Sim;Sim
08/02/2002;5,11959478;;0,528353181;Sim;Sim
09/02/2002;5,149436535;;0,322949251;Sim;Sim
10/02/2002;5,031164623;;0;Sim;Sim
11/02/2002;4,973134728;;0;Sim;Sim
12/02/2002;4,944409985;;0;Sim;Sim
13/02/2002;5,341343664;;2,848149165;Sim;Sim
14/02/2002;4,973134728;;0;Sim;Sim
15/02/2002;4,887562809;;0;Sim;Sim
16/02/2002;5,37426268;;3,084968927;Sim;Sim
17/02/2002;5,060458823;;5,961991194;Sim;Sim
18/02/2002;6,432851051;;49,53372701;Sim;Sim
19/02/2002;5,817136236;;13,99767531;Sim;Sim
20/02/2002;5,507647114;;6,072938708;Sim;Sim
21/02/2002;5,243659826;;0,082470212;Sim;Sim
22/02/2002;5,37426268;;2,804581525;Sim;Sim
23/02/2002;5,575335882;;3,96362938;Sim;Sim
24/02/2002;5,259823654;;16,40116324;Sim;Sim
25/02/2002;5,922967696;;28,05027548;Sim;Sim
26/02/2002;5,35778127;;5,241903902;Sim;Sim
27/02/2002;5,276031286;;1,563833747;Sim;Sim
28/02/2002;5,440615413;;3,760856949;Sim;Sim
01/03/2002;5,179453509;;0,025685248;Sim;Sim
02/03/2002;5,060458823;;0;Sim;Sim
03/03/2002;5,060458823;;1,03150555;Sim;Sim
04/03/2002;5,626521338;;6,326533416;Sim;Sim
05/03/2002;6,377033279;;1,383175117;Sim;Sim
06/03/2002;5,211463583;;1,121492473;Sim;Sim
07/03/2002;5,149436535;;0,330137438;Sim;Sim
08/03/2002;5,045784345;;0;Sim;Sim
09/03/2002;5,00204564;;0;Sim;Sim
10/03/2002;5,541409365;;8,92340499;Sim;Sim
11/03/2002;5,243659826;;6,502930355;Sim;Sim
12/03/2002;5,045784345;;0,007520734;Sim;Sim
13/03/2002;5,031164623;;0;Sim;Sim
14/03/2002;4,973134728;;0,057640442;Sim;Sim
15/03/2002;5,089939193;;4,29136044;Sim;Sim
16/03/2002;4,987568282;;0,655403096;Sim;Sim
17/03/2002;4,944409985;;0,512593049;Sim;Sim
18/03/2002;4,887562809;;0;Sim;Sim
19/03/2002;4,859451328;;0;Sim;Sim
20/03/2002;4,887562809;;0,099910099;Sim;Sim
21/03/2002;4,887562809;;0,106314593;Sim;Sim
22/03/2002;5,817136236;;36,39979018;Sim;Sim
23/03/2002;5,075177106;;2,153852102;Sim;Sim
24/03/2002;5,341343664;;2,098360635;Sim;Sim
25/03/2002;4,973134728;;1,580478547;Sim;Sim
26/03/2002;4,915882362;;0;Sim;Sim
27/03/2002;4,887562809;;12,35102874;Sim;Sim
28/03/2002;4,873479691;;0,028995997;Sim;Sim
29/03/2002;4,859451328;;0;Sim;Sim
30/03/2002;4,831547917;;0;Sim;Sim
31/03/2002;4,81767287;;0;Sim;Sim
01/04/2002;4,803863529;;0;Sim;Sim
02/04/2002;4,803863529;;0;Sim;Sim
03/04/2002;4,81767287;;0;Sim;Sim
04/04/2002;4,803863529;;0,003212262;Sim;Sim
05/04/2002;4,790097993;;0,041759407;Sim;Sim
06/04/2002;4,803863529;;0;Sim;Sim
07/04/2002;4,831547917;;0,235440263;Sim;Sim
08/04/2002;5,104745084;;4,474995564;Sim;Sim
09/04/2002;5,11959478;;4,257463301;Sim;Sim
10/04/2002;4,915882362;;0,010476991;Sim;Sim
11/04/2002;4,973134728;;1,692536656;Sim;Sim
12/04/2002;4,845466769;;0;Sim;Sim
13/04/2002;4,776398163;;0,002192421;Sim;Sim
14/04/2002;4,776398163;;0;Sim;Sim
15/04/2002;4,776398163;;2,166322212;Sim;Sim
16/04/2002;4,74916277;;0,135736565;Sim;Sim
17/04/2002;4,74916277;;0,052225129;Sim;Sim
18/04/2002;4,74916277;;0;Sim;Sim
19/04/2002;4,74916277;;0;Sim;Sim
20/04/2002;4,74916277;;0,320432029;Sim;Sim
21/04/2002;4,735627206;;0;Sim;Sim
22/04/2002;4,735627206;;0;Sim;Sim
23/04/2002;4,74916277;;0;Sim;Sim
24/04/2002;4,74916277;;0,091181651;Sim;Sim
25/04/2002;4,735627206;;0;Sim;Sim
26/04/2002;4,72215735;;0;Sim;Sim
27/04/2002;4,708753199;;0;Sim;Sim
28/04/2002;4,695403805;;0;Sim;Sim
29/04/2002;4,695403805;;0,101911792;Sim;Sim
30/04/2002;4,695403805;;0;Sim;Sim
01/05/2002;4,695403805;;0;Sim;Sim
02/05/2002;4,682109166;;0;Sim;Sim
03/05/2002;4,695403805;;0;Sim;Sim
04/05/2002;4,695403805;;1,137140774;Sim;Sim
05/05/2002;5,149436535;;25,28013991;Sim;Sim
06/05/2002;5,00204564;;0,16104852;Sim;Sim
07/05/2002;4,762753088;;0;Sim;Sim
08/05/2002;4,72215735;;0;Sim;Sim
09/05/2002;4,708753199;;0;Sim;Sim
10/05/2002;4,72215735;;12,86690747;Sim;Sim
11/05/2002;4,762753088;;4,15212474;Sim;Sim
12/05/2002;4,72215735;;0,331465767;Sim;Sim
13/05/2002;4,831547917;;5,479810672;Sim;Sim
14/05/2002;4,735627206;;0,039751398;Sim;Sim
15/05/2002;4,901700683;;1,887648877;Sim;Sim
16/05/2002;4,762753088;;0,121065365;Sim;Sim
17/05/2002;4,72215735;;0;Sim;Sim
18/05/2002;4,708753199;;0,370519078;Sim;Sim
19/05/2002;4,695403805;;0;Sim;Sim
20/05/2002;4,695403805;;0;Sim;Sim
21/05/2002;4,682109166;;0;Sim;Sim
22/05/2002;4,803863529;;3,992529388;Sim;Sim
23/05/2002;5,089939193;;19,90283464;Sim;Sim
24/05/2002;4,762753088;;2,359750876;Sim;Sim
25/05/2002;4,72215735;;0,382417637;Sim;Sim
26/05/2002;4,695403805;;0,411015926;Sim;Sim
27/05/2002;4,695403805;;0,0931556;Sim;Sim
28/05/2002;4,695403805;;3,948522678;Sim;Sim
29/05/2002;4,682109166;;1,685951051;Sim;Sim
30/05/2002;4,682109166;;0;Sim;Sim
31/05/2002;4,668880233;;0;Sim;Sim
01/06/2002;4,668880233;;0;Sim;Sim
02/06/2002;4,668880233;;0,331108549;Sim;Sim
03/06/2002;4,682109166;;1,397053147;Sim;Sim
04/06/2002;4,682109166;;0,022198302;Sim;Sim
05/06/2002;4,668880233;;0;Sim;Sim
06/06/2002;4,668880233;;0;Sim;Sim
07/06/2002;4,668880233;;0;Sim;Sim
08/06/2002;4,668880233;;0;Sim;Sim
09/06/2002;4,668880233;;0;Sim;Sim
10/06/2002;4,655717008;;0,042635632;Sim;Sim
11/06/2002;4,655717008;;0;Sim;Sim
12/06/2002;4,642619488;;0;Sim;Sim
13/06/2002;4,642619488;;0;Sim;Sim
14/06/2002;4,642619488;;0;Sim;Sim
15/06/2002;4,629587676;;0;Sim;Sim
16/06/2002;4,629587676;;0;Sim;Sim
17/06/2002;4,629587676;;0,006424524;Sim;Sim
18/06/2002;4,629587676;;0;Sim;Sim
19/06/2002;4,629587676;;0;Sim;Sim
20/06/2002;4,61662157;;0;Sim;Sim
21/06/2002;4,61662157;;0;Sim;Sim
22/06/2002;4,629587676;;0,003212262;Sim;Sim
23/06/2002;4,629587676;;0;Sim;Sim
24/06/2002;4,629587676;;0,006424524;Sim;Sim
25/06/2002;4,629587676;;0;Sim;Sim
26/06/2002;4,629587676;;0,438450396;Sim;Sim
27/06/2002;4,629587676;;0,263066336;Sim;Sim
